Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time
L,1,10690,10815,53.45,54.075
L,2,10905,11023,54.525,55.115
L,3,12835,12937,64.175,64.685
L,4,13037,13143,65.185,65.715
L,5,13259,13354,66.295,66.77
L,6,13468,13566,67.34,67.83
L,7,13676,13778,68.38,68.89
L,8,13897,13995,69.485,69.97500000000001
L,9,14108,14204,70.54,71.02
L,10,14317,14411,71.58500000000001,72.055
L,11,14522,14622,72.61,73.11
L,12,14735,14834,73.675,74.17
L,13,14960,15051,74.8,75.255
L,14,15162,15259,75.81,76.295
L,15,15374,15471,76.87,77.355
L,16,15590,15685,77.95,78.425
L,17,15787,15898,78.935,79.49
L,18,16013,16112,80.065,80.56
L,19,16234,16332,81.17,81.66
L,20,16438,16558,82.19,82.79
L,21,16666,18202,83.33,91.01
L,22,18300,18415,91.5,92.075
L,23,18517,18634,92.58500000000001,93.17
L,24,18752,18845,93.76,94.22500000000001
L,25,18963,19061,94.815,95.305
L,26,19182,19282,95.91,96.41
L,27,19403,19499,97.015,97.495
L,28,19610,19712,98.05,98.56
L,29,19825,19922,99.125,99.61
L,30,20035,20137,100.175,100.685
L,31,20259,20358,101.295,101.79
L,32,20477,20577,102.385,102.885
L,33,20696,20795,103.48,103.97500000000001
L,34,20910,21008,104.55,105.04
L,35,21128,21232,105.64,106.16
L,36,21335,21451,106.675,107.255
L,37,21557,21683,107.785,108.415
L,38,21794,23176,108.97,115.88
L,39,23305,23410,116.525,117.05
L,40,23527,23656,117.635,118.28
L,41,23764,23885,118.82000000000001,119.425
L,42,24009,24101,120.045,120.505
L,43,24212,24323,121.06,121.61500000000001
L,44,24449,24551,122.245,122.755
L,45,24652,24768,123.26,123.84
L,46,24872,24988,124.36,124.94
L,47,25098,25222,125.49000000000001,126.11
L,48,25343,25442,126.715,127.21000000000001
L,49,25554,25671,127.77,128.355
L,50,25794,25898,128.97,129.49
L,51,26013,26139,130.065,130.695
L,52,26259,26365,131.29500000000002,131.825
L,53,26475,26594,132.375,132.97
L,54,26719,26833,133.595,134.165
L,55,26956,28355,134.78,141.775
L,56,28465,28588,142.32500000000002,142.94
L,57,28710,28811,143.55,144.055
L,58,28921,29037,144.605,145.185
L,59,29165,29263,145.82500000000002,146.315
L,60,29373,29502,146.865,147.51
L,61,29612,29739,148.06,148.695
L,62,29857,29955,149.285,149.775
L,63,30078,30185,150.39000000000001,150.925
L,64,30298,30407,151.49,152.035
L,65,30525,30633,152.625,153.165
L,66,30713,30828,153.565,154.14000000000001
L,67,30903,30988,154.51500000000001,154.94
L,68,31047,31306,155.235,156.53
L,69,31391,31501,156.955,157.505
L,70,31618,31724,158.09,158.62
L,71,31840,31947,159.20000000000002,159.735
L,72,32056,32201,160.28,161.005
L,73,32337,33423,161.685,167.115
L,74,33541,33656,167.705,168.28
L,75,33751,40794,168.755,203.97
R,1,3688,3873,18.44,19.365000000000002
R,2,10577,10715,52.885,53.575
R,3,10797,10929,53.985,54.645
