time_aligned_sec,L_Gyro_Z_aligned,R_Gyro_Z_aligned
0.0,-11.73,0.0
0.005,-5.865,0.0
0.01,-11.73,0.0
0.015,-11.73,0.0
0.02,-11.73,0.0
0.025,-11.73,0.0
0.03,-11.73,0.0
0.035,-11.73,0.0
0.04,-11.73,-5.865
0.045,-11.73,0.0
0.05,-17.595,0.0
0.055,-17.595,-5.865
0.06,-17.595,-5.865
0.065,-17.595,-5.865
0.07,-17.595,-5.865
0.075,-23.46,-5.865
0.08,-23.46,-5.865
0.085,-29.326,-5.865
0.09,-29.326,-5.865
0.095,-29.326,-5.865
0.1,-29.326,-5.865
0.105,-35.191,-11.73
0.11,-35.191,-11.73
0.115,-35.191,-11.73
0.12,-35.191,-11.73
0.125,-35.191,-11.73
0.13,-41.056,-11.73
0.135,-41.056,-11.73
0.14,-41.056,-17.595
0.145,-41.056,-17.595
0.15,-41.056,-17.595
0.155,-41.056,-17.595
0.16,-41.056,-17.595
0.165,-41.056,-23.46
0.17,-41.056,-23.46
0.17500000000000002,-41.056,-23.46
0.18,-41.056,-29.326
0.185,-41.056,-29.326
0.19,-35.191,-35.191
0.195,-29.326,-35.191
0.2,-23.46,-35.191
0.20500000000000002,-17.595,-35.191
0.21,-5.865,-35.191
0.215,-0.0,-41.056
0.22,5.865,-41.056
0.225,11.73,-41.056
0.23,23.46,-41.056
0.23500000000000001,35.191,-46.921
0.24,35.191,-46.921
0.245,46.921,-46.921
0.25,46.921,-41.056
0.255,52.786,-46.921
0.26,52.786,-41.056
0.265,52.786,-41.056
0.27,52.786,-41.056
0.275,58.651,-41.056
0.28,58.651,-41.056
0.28500000000000003,52.786,-35.191
0.29,58.651,-23.46
0.295,58.651,-17.595
0.3,58.651,-11.73
0.305,52.786,0.0
0.31,52.786,5.865
0.315,46.921,11.73
0.32,46.921,23.46
0.325,41.056,29.326
0.33,35.191,35.191
0.335,29.326,41.056
0.34,17.595,46.921
0.34500000000000003,5.865,52.786
0.35000000000000003,-0.0,52.786
0.355,-5.865,52.786
0.36,-17.595,58.651
0.365,-23.46,58.651
0.37,-35.191,58.651
0.375,-41.056,58.651
0.38,-46.921,58.651
0.385,-52.786,58.651
0.39,-58.651,58.651
0.395,-64.516,58.651
0.4,-64.516,52.786
0.405,-58.651,52.786
0.41000000000000003,-58.651,46.921
